convene_product_id,product,product_attributes,color,gender,vendor
00a49d19-00cd-4462-9114-1f6790a2192f,"['REI internal stock (brand - pgnia) man heather mens sweatshirt p6 uprisal label ', 'patagonia Inc Online UK (M) heather p6 label uprisal sweatshirt mens ', 'patagonia: masculine heather p6 label uprisal sweatshirt mens ', 'goat.com+REI resale mens heather sweatshirt uprisal label p6 ']","['rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'man', 'heather', 'mens', 'sweatshirt', 'p6', 'uprisal', 'label', 'patagonia', 'inc', 'online', 'uk', '(m)', 'masculine', 'goat.com+rei', 'resale']",heather,men,"['goat.com', 'patagonia - source source', 'patagonia - online uk', 'REI']"
00c3b9b9-2736-4e7c-a210-b54fe2e3fed7,"['patagonia Inc Online UK (M) khaki silent down jacket mens ', 'patagonia: masculine khaki silent down jacket mens ', 'goat.com+REI resale mens khaki down jacket silent ', 'REI internal stock (brand - pgnia) man khaki jacket mens down silent ']","['patagonia', 'inc', 'online', 'uk', '(m)', 'khaki', 'silent', 'down', 'jacket', 'mens', 'masculine', 'goat.com+rei', 'resale', 'rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'man']",khaki,men,"['patagonia - source source', 'patagonia - online uk', 'goat.com', 'REI']"
00f8eb7d-50bc-4db1-81c1-8e9545650f89,"['patagonia Inc Online UK (M) black trail pacer joggers mens ', 'goat.com+REI resale mens black trail joggers pacer ', 'patagonia: masculine black trail pacer joggers mens ', 'REI internal stock (brand - pgnia) man black mens trail pacer joggers ']","['patagonia', 'inc', 'online', 'uk', '(m)', 'black', 'trail', 'pacer', 'joggers', 'mens', 'goat.com+rei', 'resale', 'masculine', 'rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'man']",black,men,"['patagonia - source source', 'patagonia - online uk', 'goat.com', 'REI']"
017a0a64-efc6-4b16-86e1-67020567c2b3,"['patagonia: masculine black nine trails shorts mens 8 inseam ', 'patagonia Inc Online UK (M) black nine trails shorts mens 8 inseam ', 'goat.com+REI resale mens black 8 trails nine inseam shorts ', 'REI internal stock (brand - pgnia) man black trails 8 nine mens shorts inseam ']","['patagonia', 'masculine', 'black', 'nine', 'trails', 'shorts', 'mens', '8', 'inseam', 'inc', 'online', 'uk', '(m)', 'goat.com+rei', 'resale', 'rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'man']",black,men,"['patagonia - source source', 'patagonia - online uk', 'goat.com', 'REI']"
01b13d9c-218d-43d3-9949-ba1ee715c124,"['REI internal stock (brand - pgnia) unisex - female rosehip trail capilene longsleeve cool womens shirt ', 'goat.com+REI resale womens rosehip shirt capilene longsleeve cool trail ', 'patagonia Inc Online UK (F) rosehip capilene cool trail longsleeve shirt womens ', 'patagonia: feminine rosehip capilene cool trail longsleeve shirt womens ']","['rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'unisex', '-', 'female', 'rosehip', 'trail', 'capilene', 'longsleeve', 'cool', 'womens', 'shirt', 'goat.com+rei', 'resale', 'patagonia', 'inc', 'online', 'uk', '(f)', 'feminine']",rosehip,women,"['goat.com', 'patagonia - source source', 'patagonia - online uk', 'REI']"
02b0eeb9-7008-4f5a-aa8f-912bba262370,"['patagonia: trout black hole cube 10l large ', 'patagonia Inc Online UK trout black hole cube 10l large ', 'REI internal stock (brand - pgnia) trout 10l hole large cube black ', 'goat.com+REI resale trout black large cube 10l hole ']","['patagonia', 'trout', 'black', 'hole', 'cube', '10l', 'large', 'inc', 'online', 'uk', 'rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'goat.com+rei', 'resale']",black,unisex,"['goat.com', 'patagonia - online uk', 'patagonia - source source', 'REI']"
02c6672c-fd56-4dc4-b0a1-656371fb2f41,"['patagonia Inc Online UK (F) greyboardie capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine greyboardie capilene cool daily graphic longsleeve shirt womens ', 'REI internal stock (brand - pgnia) unisex - female greyboardie daily womens graphic capilene longsleeve shirt cool ', 'goat.com+REI resale womens greyboardie... shirt cool capilene longsleeve daily graphic ']","['patagonia', 'inc', 'online', 'uk', '(f)', 'greyboardie', 'capilene', 'cool', 'daily', 'graphic', 'longsleeve', 'shirt', 'womens', 'feminine', 'rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'unisex', '-', 'female', 'goat.com+rei', 'resale', 'greyboardie...']",,women,"['goat.com', 'patagonia - source source', 'patagonia - online uk', 'REI']"
02f7eee8-59ad-47d1-99b8-e816cd6e14c0,"['patagonia Inc Online UK red black hole tote 25l ', 'patagonia: red black hole tote 25l ', 'goat.com+REI resale red tote hole black 25l ', 'REI internal stock (brand - pgnia) red hole tote black 25l ']","['patagonia', 'inc', 'online', 'uk', 'red', 'black', 'hole', 'tote', '25l', 'goat.com+rei', 'resale', 'rei', 'internal', 'stock', '(brand', '-', 'pgnia)']",black,unisex,"['patagonia - source source', 'patagonia - online uk', 'goat.com', 'REI']"
0303fc0a-e0d0-4d77-b997-1ed8b4d36cb7,"['patagonia Inc Online UK (F) t pack out jogger pants womens ', 'REI internal stock (brand - pgnia) unisex - female t pants womens pack out jogger ', 'patagonia: feminine t pack out jogger pants womens ', 'goat.com+REI resale womens t... jogger out pants pack ']","['patagonia', 'inc', 'online', 'uk', '(f)', 't', 'pack', 'out', 'jogger', 'pants', 'womens', 'rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'unisex', '-', 'female', 'feminine', 'goat.com+rei', 'resale', 't...']",t...,women,"['patagonia - source source', 'patagonia - online uk', 'goat.com', 'REI']"
030d7a2e-05eb-4731-85e1-369f0a820a55,"['patagonia: masculine tan better sweater fleece jacket mens ', 'REI internal stock (brand - pgnia) man tan mens fleece sweater jacket better ', 'patagonia Inc Online UK (M) tan better sweater fleece jacket mens ', 'goat.com+REI resale mens tan better sweater fleece jacket ']","['patagonia', 'masculine', 'tan', 'better', 'sweater', 'fleece', 'jacket', 'mens', 'rei', 'internal', 'stock', '(brand', '-', 'pgnia)', 'man', 'inc', 'online', 'uk', '(m)', 'goat.com+rei', 'resale']",tan,men,"['patagonia - source source', 'patagonia - online uk', 'goat.com', 'REI']"
