convene_product_id_x,vendor,product
000a1472-b493-44a3-ba55-0101fae368bd,['patagonia - source source'],['patagonia: masculine navy nano puff insulated vest mens ']
005c1789-fab1-4996-aa30-a2d6b054d009,"['patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source']","['patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ', 'patagonia: feminine xdyeb capilene cool daily graphic longsleeve shirt womens ']"
0060a6cd-f0cf-463a-83ab-785669d81da6,['patagonia - online uk'],['patagonia Inc Online UK (M) grey baggies longs shorts mens 7 in inseam ']
00962d33-1770-4f86-8b46-73a95c633471,['goat.com'],['goat.com+REI resale blue girls hike pants durable ']
00aa16f4-a6df-4b10-ac85-1330b8beb6aa,"['patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source']","['patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ', 'patagonia: masculine browngraft longsleeve cotton conversion fjord flannel shirt mens ']"
00b5eb8f-d9f3-4285-ae1a-0e91e401fb69,['goat.com'],['goat.com+REI resale blue toddlers synchilla cardigan fleece ']
00ec311b-d942-471c-944c-9f61bc3dfad8,"['goat.com', 'goat.com', 'goat.com', 'goat.com', 'goat.com', 'goat.com', 'goat.com', 'goat.com']","['goat.com+REI resale bluebadgerho... base layer set capilene midweight infants ', 'goat.com+REI resale bluebadgerho... base layer set capilene midweight infants ', 'goat.com+REI resale bluebadgerho... base layer set capilene midweight infants ', 'goat.com+REI resale bluebadgerho... base layer set capilene midweight infants ', 'goat.com+REI resale bluebadgerho... base layer set capilene midweight infants ', 'goat.com+REI resale bluebadgerho... base layer set capilene midweight infants ', 'goat.com+REI resale bluebadgerho... base layer set capilene midweight infants ', 'goat.com+REI resale bluebadgerho... base layer set capilene midweight infants ']"
00f98832-6b80-482f-93b7-e0287ff13061,['goat.com'],['goat.com+REI resale mens black city rain storm parka ']
010d6cda-5335-4342-8730-b961b646a280,"['patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source']","['patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ', 'patagonia: ri capilene cool daily tshirt girls ']"
01281b8c-f384-4437-8b58-638e26caa722,"['patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source', 'patagonia - source source']","['patagonia: masculine grey p6 label uprisal sweatpants mens ', 'patagonia: masculine grey p6 label uprisal sweatpants mens ', 'patagonia: masculine grey p6 label uprisal sweatpants mens ', 'patagonia: masculine grey p6 label uprisal sweatpants mens ', 'patagonia: masculine grey p6 label uprisal sweatpants mens ']"
